Diplotype,Activity Score,Coded Diplotype/Phenotype Summary,EHR Priority Notation
*1/*1,2.0,Normal Metabolizer,Normal/Routine/Low Risk
*1/*2,1.5,Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*3,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*4,1.5,Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*5,1.5,Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*6,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*7,,Indeterminate,none
*1/*8,1.5,Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*9,2.0,Normal Metabolizer,Normal/Routine/Low Risk
*1/*10,,Indeterminate,none
*1/*11,1.5,Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*12,1.5,Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*13,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*14,1.5,Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*15,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*16,1.5,Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*17,,Indeterminate,none
*1/*18,,Indeterminate,none
*1/*19,,Indeterminate,none
*1/*20,,Indeterminate,none
*1/*21,,Indeterminate,none
*1/*22,,Indeterminate,none
*1/*23,1.5,Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*24,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*25,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*26,1.5,Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*27,,Indeterminate,none
*1/*28,1.5,Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*29,1.5,Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*30,1.5,Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*31,1.5,Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*32,,Indeterminate,none
*1/*33,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*34,,Indeterminate,none
*1/*35,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*36,,Indeterminate,none
*1/*37,1.5,Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*38,1.5,Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*39,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*40,,Indeterminate,none
*1/*41,,Indeterminate,none
*1/*42,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*43,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*44,1.5,Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*45,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*46,1.5,Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*47,,Indeterminate,none
*1/*48,,Indeterminate,none
*1/*49,,Indeterminate,none
*1/*50,1.5,Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*51,,Indeterminate,none
*1/*52,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*53,,Indeterminate,none
*1/*54,,Indeterminate,none
*1/*55,1.5,Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*56,,Indeterminate,none
*1/*57,,Indeterminate,none
*1/*58,,Indeterminate,none
*1/*59,,Indeterminate,none
*1/*60,,Indeterminate,none
*1/*61,1.5,Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*62,,Indeterminate,none
*1/*63,,Indeterminate,none
*1/*64,,Indeterminate,none
*1/*65,,Indeterminate,none
*1/*66,,Indeterminate,none
*1/*67,,Indeterminate,none
*1/*68,,Indeterminate,none
*1/*69,,Indeterminate,none
*1/*70,,Indeterminate,none
*1/*71,,Indeterminate,none
*1/*72,,Indeterminate,none
*1/*73,,Indeterminate,none
*1/*74,,Indeterminate,none
*1/*75,,Indeterminate,none
*2/*2,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*2/*3,0.5,Poor Metabolizer,Abnormal/Priority/High Risk
*2/*4,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*2/*5,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*2/*6,0.5,Poor Metabolizer,Abnormal/Priority/High Risk
*2/*7,,Indeterminate,none
*2/*8,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*2/*9,1.5,Intermediate Metabolizer,Abnormal/Priority/High Risk
*2/*10,,Indeterminate,none
*2/*11,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*2/*12,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*2/*13,0.5,Poor Metabolizer,Abnormal/Priority/High Risk
*2/*14,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*2/*15,0.5,Poor Metabolizer,Abnormal/Priority/High Risk
*2/*16,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*2/*17,,Indeterminate,none
*2/*18,,Indeterminate,none
*2/*19,,Indeterminate,none
*2/*20,,Indeterminate,none
*2/*21,,Indeterminate,none
*2/*22,,Indeterminate,none
*2/*23,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*2/*24,0.5,Poor Metabolizer,Abnormal/Priority/High Risk
*2/*25,0.5,Poor Metabolizer,Abnormal/Priority/High Risk
*2/*26,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*2/*27,,Indeterminate,none
*2/*28,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*2/*29,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*2/*30,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*2/*31,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*2/*32,,Indeterminate,none
*2/*33,0.5,Poor Metabolizer,Abnormal/Priority/High Risk
*2/*34,,Indeterminate,none
*2/*35,0.5,Poor Metabolizer,Abnormal/Priority/High Risk
*2/*36,,Indeterminate,none
*2/*37,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*2/*38,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*2/*39,0.5,Poor Metabolizer,Abnormal/Priority/High Risk
*2/*40,,Indeterminate,none
*2/*41,,Indeterminate,none
*2/*42,0.5,Poor Metabolizer,Abnormal/Priority/High Risk
*2/*43,0.5,Poor Metabolizer,Abnormal/Priority/High Risk
*2/*44,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*2/*45,0.5,Poor Metabolizer,Abnormal/Priority/High Risk
*2/*46,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*2/*47,,Indeterminate,none
*2/*48,,Indeterminate,none
*2/*49,,Indeterminate,none
*2/*50,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*2/*51,,Indeterminate,none
*2/*52,0.5,Poor Metabolizer,Abnormal/Priority/High Risk
*2/*53,,Indeterminate,none
*2/*54,,Indeterminate,none
*2/*55,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*2/*56,,Indeterminate,none
*2/*57,,Indeterminate,none
*2/*58,,Indeterminate,none
*2/*59,,Indeterminate,none
*2/*60,,Indeterminate,none
*2/*61,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*2/*62,,Indeterminate,none
*2/*63,,Indeterminate,none
*2/*64,,Indeterminate,none
*2/*65,,Indeterminate,none
*2/*66,,Indeterminate,none
*2/*67,,Indeterminate,none
*2/*68,,Indeterminate,none
*2/*69,,Indeterminate,none
*2/*70,,Indeterminate,none
*2/*71,,Indeterminate,none
*2/*72,,Indeterminate,none
*2/*73,,Indeterminate,none
*2/*74,,Indeterminate,none
*2/*75,,Indeterminate,none
*3/*3,0.0,Poor Metabolizer,Abnormal/Priority/High Risk
*3/*4,0.5,Poor Metabolizer,Abnormal/Priority/High Risk
*3/*5,0.5,Poor Metabolizer,Abnormal/Priority/High Risk
*3/*6,0.0,Poor Metabolizer,Abnormal/Priority/High Risk
*3/*7,,Indeterminate,none
*3/*8,0.5,Poor Metabolizer,Abnormal/Priority/High Risk
*3/*9,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*3/*10,,Indeterminate,none
*3/*11,0.5,Poor Metabolizer,Abnormal/Priority/High Risk
*3/*12,0.5,Poor Metabolizer,Abnormal/Priority/High Risk
*3/*13,0.0,Poor Metabolizer,Abnormal/Priority/High Risk
*3/*14,0.5,Poor Metabolizer,Abnormal/Priority/High Risk
*3/*15,0.0,Poor Metabolizer,Abnormal/Priority/High Risk
*3/*16,0.5,Poor Metabolizer,Abnormal/Priority/High Risk
*3/*17,,Indeterminate,none
*3/*18,,Indeterminate,none
*3/*19,,Indeterminate,none
*3/*20,,Indeterminate,none
*3/*21,,Indeterminate,none
*3/*22,,Indeterminate,none
*3/*23,0.5,Poor Metabolizer,Abnormal/Priority/High Risk
*3/*24,0.0,Poor Metabolizer,Abnormal/Priority/High Risk
*3/*25,0.0,Poor Metabolizer,Abnormal/Priority/High Risk
*3/*26,0.5,Poor Metabolizer,Abnormal/Priority/High Risk
*3/*27,,Indeterminate,none
*3/*28,0.5,Poor Metabolizer,Abnormal/Priority/High Risk
*3/*29,0.5,Poor Metabolizer,Abnormal/Priority/High Risk
*3/*30,0.5,Poor Metabolizer,Abnormal/Priority/High Risk
*3/*31,0.5,Poor Metabolizer,Abnormal/Priority/High Risk
*3/*32,,Indeterminate,none
*3/*33,0.0,Poor Metabolizer,Abnormal/Priority/High Risk
*3/*34,,Indeterminate,none
*3/*35,0.0,Poor Metabolizer,Abnormal/Priority/High Risk
*3/*36,,Indeterminate,none
*3/*37,0.5,Poor Metabolizer,Abnormal/Priority/High Risk
*3/*38,0.5,Poor Metabolizer,Abnormal/Priority/High Risk
*3/*39,0.0,Poor Metabolizer,Abnormal/Priority/High Risk
*3/*40,,Indeterminate,none
*3/*41,,Indeterminate,none
*3/*42,0.0,Poor Metabolizer,Abnormal/Priority/High Risk
*3/*43,0.0,Poor Metabolizer,Abnormal/Priority/High Risk
*3/*44,0.5,Poor Metabolizer,Abnormal/Priority/High Risk
*3/*45,0.0,Poor Metabolizer,Abnormal/Priority/High Risk
*3/*46,0.5,Poor Metabolizer,Abnormal/Priority/High Risk
*3/*47,,Indeterminate,none
*3/*48,,Indeterminate,none
*3/*49,,Indeterminate,none
*3/*50,0.5,Poor Metabolizer,Abnormal/Priority/High Risk
*3/*51,,Indeterminate,none
*3/*52,0.0,Poor Metabolizer,Abnormal/Priority/High Risk
*3/*53,,Indeterminate,none
*3/*54,,Indeterminate,none
*3/*55,0.5,Poor Metabolizer,Abnormal/Priority/High Risk
*3/*56,,Indeterminate,none
*3/*57,,Indeterminate,none
*3/*58,,Indeterminate,none
*3/*59,,Indeterminate,none
*3/*60,,Indeterminate,none
*3/*61,0.5,Poor Metabolizer,Abnormal/Priority/High Risk
*3/*62,,Indeterminate,none
*3/*63,,Indeterminate,none
*3/*64,,Indeterminate,none
*3/*65,,Indeterminate,none
*3/*66,,Indeterminate,none
*3/*67,,Indeterminate,none
*3/*68,,Indeterminate,none
*3/*69,,Indeterminate,none
*3/*70,,Indeterminate,none
*3/*71,,Indeterminate,none
*3/*72,,Indeterminate,none
*3/*73,,Indeterminate,none
*3/*74,,Indeterminate,none
*3/*75,,Indeterminate,none
*4/*4,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*4/*5,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*4/*6,0.5,Poor Metabolizer,Abnormal/Priority/High Risk
*4/*7,,Indeterminate,none
*4/*8,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*4/*9,1.5,Intermediate Metabolizer,Abnormal/Priority/High Risk
*4/*10,,Indeterminate,none
*4/*11,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*4/*12,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*4/*13,0.5,Poor Metabolizer,Abnormal/Priority/High Risk
