Diplotype,Activity Score,Coded Diplotype/Phenotype Summary,EHR Priority Notation
*1/*1,2.0,Normal Metabolizer,Normal/Routine/ Low Risk
*1/*1x2,3.0,Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1/*1x≥3,≥4.0,Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1/*2,2.0,Normal Metabolizer,Normal/Routine/ Low Risk
*1/*2x2,3.0,Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1/*2x≥3,≥4.0,Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1/*3,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*3x2,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*4,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*4x2,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*4x≥3,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*5,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*6,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*6x2,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*7,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*8,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*9,1.25,Normal Metabolizer,Normal/Routine/ Low Risk
*1/*9x2,1.5,Normal Metabolizer,Normal/Routine/ Low Risk
*1/*10,1.25,Normal Metabolizer,Normal/Routine/ Low Risk
*1/*10x2,1.5,Normal Metabolizer,Normal/Routine/ Low Risk
*1/*11,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*12,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*13,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*13+*1,2.0,Normal Metabolizer,Normal/Routine/ Low Risk
*1/*13+*1x2,3.0,Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1/*13+*2,2.0,Normal Metabolizer,Normal/Routine/ Low Risk
*1/*13+*68x2+*4,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*14,1.5,Normal Metabolizer,Normal/Routine/ Low Risk
*1/*15,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*17,1.5,Normal Metabolizer,Normal/Routine/ Low Risk
*1/*17x2,2.0,Normal Metabolizer,Normal/Routine/ Low Risk
*1/*18,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
